pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,2,35,879.5522172230868,780.9066429774167,98.6455742456701,100,1.3544257543298954
0_+10,2,36,879.3532204208617,780.8659013400509,98.48731908081083,100,1.5126809191891653
0_+10,2,37,879.2992851156441,780.8123251658651,98.48695994977902,100,1.5130400502209795
0_+10,2,38,879.2992851156441,780.9221012165691,98.37718389907502,100,1.6228161009249789
0_+10,2,39,879.3514029577416,780.9221012165691,98.42930174117248,100,1.5706982588275196
0_+10,2,40,879.3507668960066,780.7952696125285,98.55549728347808,100,1.4445027165219244
0_+10,2,41,879.3507668960066,780.8475051361598,98.50326175984674,100,1.4967382401532632
0_+10,2,42,879.3607227603547,780.8475051361598,98.51321762419491,100,1.4867823758050918
0_+10,2,43,879.3577733304841,780.8457695483937,98.51200378209035,100,1.4879962179096538
0_+10,2,44,879.4225960343372,780.8457695483937,98.57682648594346,100,1.4231735140565434
0_+10,2,45,879.4122803954705,780.804522696112,98.60775769935844,100,1.3922423006415556
0_+10,2,46,879.4122803954705,780.804522696112,98.60775769935844,100,1.3922423006415556
0_+10,2,47,879.4876393322834,780.921272655827,98.56636667645637,100,1.4336333235436314
0_+10,2,48,879.3283759724335,780.8461974623979,98.48217851003562,100,1.5178214899643763
0_+10,2,49,879.2597248736669,780.8284562840133,98.43126858965354,100,1.5687314103464587
0_+10,2,50,879.2597248736669,780.8284562840133,98.43126858965354,100,1.5687314103464587
0_+10,2,51,879.2321844442997,780.922322780474,98.3098616638257,100,1.6901383361743
0_+10,2,52,879.3983030089605,780.8140011765134,98.58430183244707,100,1.4156981675529323
0_+10,2,53,879.3983030089605,780.7700656580687,98.62823735089182,100,1.3717626491081774
0_+10,2,54,879.4648263727056,780.7700656580687,98.69476071463691,100,1.3052392853630863
0_+10,2,55,879.3398481955479,780.820893795527,98.5189544000209,100,1.4810455999790975
0_+10,2,56,879.2442726062608,780.8064189497284,98.43785365653241,100,1.5621463434675888
0_+10,2,57,879.2907935221897,780.7754218956492,98.51537162654051,100,1.4846283734594863
0_+10,2,58,879.2907935221897,780.7754218956492,98.51537162654051,100,1.4846283734594863
0_+10,2,59,879.4348381927766,780.7810184539131,98.65381973886349,100,1.3461802611365101
0_+10,2,60,879.1563288581475,780.7810184539131,98.37531040423437,100,1.6246895957656307
0_+10,2,61,879.3501466635976,780.9581519759081,98.39199468768948,100,1.6080053123105245
0_+10,2,62,879.3501466635976,780.9581519759081,98.39199468768948,100,1.6080053123105245
0_+10,2,63,879.184929399101,780.7839891367552,98.40094026234578,100,1.5990597376542155
0_+10,2,64,879.184929399101,780.7350262187575,98.44990318034343,100,1.5500968196565736
0_+10,2,65,879.2038086731501,780.7735776356877,98.43023103746236,100,1.569768962537637
0_+10,2,66,879.5242643911649,780.702077188002,98.82218720316291,100,1.1778127968370882
