pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_-10,1,6,888.0433468701401,988.1591794073362,100.11583253719607,100,0.11583253719607
0_-10,1,7,887.9520417629828,988.1591794073362,100.20713764435334,100,0.20713764435333815
0_-10,1,8,888.0119605629927,988.1591794073362,100.14721884434346,100,0.1472188443434561
0_-10,1,9,888.1016157883342,988.3461481361072,100.24453234777297,100,0.2445323477729744
0_-10,1,10,888.1016157883342,988.2102105329008,100.10859474456652,100,0.10859474456651697
0_-10,1,11,888.048981689552,988.2102105329008,100.1612288433488,100,0.16122884334879473
0_-10,1,12,888.1118789950791,988.2093891567717,100.09751016169264,100,0.09751016169263949
0_-10,1,13,888.0163113267796,988.2180902971418,100.20177897036217,100,0.20177897036217018
0_-10,1,14,888.0264366172946,988.1797857033962,100.15334908610157,100,0.15334908610157072
0_-10,1,15,888.0264366172946,988.1797857033962,100.15334908610157,100,0.15334908610157072
0_-10,1,16,888.0308989036868,988.1041228040089,100.07322390032209,100,0.07322390032209114
0_-10,1,17,887.9944250996004,988.2204661089396,100.22604100933916,100,0.2260410093391556
0_-10,1,18,887.9944250996004,988.3493822436124,100.3549571440119,100,0.35495714401190526
0_-10,1,19,888.0125399367398,988.3493822436124,100.33684230687254,100,0.3368423068725406
0_-10,1,20,888.0620678694086,988.1562050323217,100.09413716291317,100,0.09413716291317087
0_-10,1,21,888.0620678694086,988.1736015849543,100.11153371554576,100,0.11153371554576097
0_-10,1,22,887.9146520894055,988.1736015849543,100.25894949554879,100,0.25894949554879076
0_-10,1,23,888.0346626556702,988.2348466270809,100.20018397141064,100,0.20018397141063815
0_-10,1,24,888.0346626556702,988.1920560616595,100.1573934059893,100,0.1573934059892963
0_-10,1,25,888.0072171449283,988.1330086565775,100.12579151164925,100,0.12579151164925406
0_-10,1,26,888.0072171449283,988.225096034188,100.21787888925974,100,0.21787888925973675
0_-10,1,27,888.0089352272364,988.225096034188,100.21616080695162,100,0.21616080695162054
0_-10,1,28,888.0089352272364,988.2270670642501,100.21813183701374,100,0.21813183701374328
0_-10,1,29,888.0816744988323,988.2035041290027,100.1218296301704,100,0.12182963017039583
0_-10,1,30,887.9713472816002,988.1332136121829,100.16186633058271,100,0.16186633058271127
0_-10,1,31,888.0072422349944,988.1332136121829,100.12597137718853,100,0.12597137718853446
0_-10,1,32,888.059946092813,988.2266296317358,100.16668353892283,100,0.1666835389228254
0_-10,1,33,887.986275344974,988.1638855888481,100.17761024387403,100,0.17761024387402813
0_-10,1,34,887.986275344974,988.2022330109156,100.21595766594157,100,0.2159576659415734
0_-10,1,35,887.9620576628317,988.2022330109156,100.24017534808388,100,0.24017534808388064
0_-10,1,36,887.9977494169904,988.0710188157024,100.073269398712,100,0.07326939871200011
0_-10,1,37,888.0387269771967,988.2994882335668,100.26076125637007,100,0.2607612563700741
0_-10,1,38,888.0387269771967,988.1985474744283,100.15982049723164,100,0.15982049723163527
0_-10,1,39,887.9875367573353,988.1985474744283,100.21101071709302,100,0.21101071709301777
0_-10,1,40,888.0018998424272,988.185970842518,100.18407100009085,100,0.18407100009085298
0_-10,1,41,888.0018998424272,988.1592156873556,100.15731584492846,100,0.15731584492846196
0_-10,1,42,888.1120214892095,988.1592156873556,100.04719419814614,100,0.04719419814614412
0_-10,1,43,888.0835622228857,988.1669032012052,100.08334097831948,100,0.08334097831948384
0_-10,1,44,888.0529474503984,988.2284463582953,100.1754989078969,100,0.1754989078968947
0_-10,1,45,888.0052322515729,988.2349744480713,100.22974219649836,100,0.22974219649836414
0_-10,1,46,888.0052322515729,988.2349744480713,100.22974219649836,100,0.22974219649836414
0_-10,1,47,887.9937031061651,988.1563123496454,100.16260924348035,100,0.16260924348034678
0_-10,1,48,888.0555951142079,988.1982388068398,100.14264369263185,100,0.14264369263185017
0_-10,1,49,888.0025262670711,988.1884862995166,100.18596003244556,100,0.18596003244556414
0_-10,1,50,888.0025262670711,988.1495606225052,100.14703435543413,100,0.1470343554341298
0_-10,1,51,888.0357003244914,988.1495606225052,100.11386029801383,100,0.11386029801383302
0_-10,1,52,888.0520988011008,988.2443936018559,100.19229480075512,100,0.1922948007551213
0_-10,1,53,888.0520988011008,988.1220256602927,100.06992685919192,100,0.06992685919192354
0_-10,1,54,888.0311885772087,988.1891272845751,100.15793870736638,100,0.15793870736638382
0_-10,1,55,888.0159854398174,988.1891272845751,100.17314184475765,100,0.1731418447576516
0_-10,1,56,888.0604055438572,988.1975946845093,100.13718914065214,100,0.13718914065213994
0_-10,1,57,888.1246506706195,988.2469073277184,100.12225665709889,100,0.12225665709888744
0_-10,1,58,888.1246506706195,988.3003823402884,100.17573166966883,100,0.1757316696688349
0_-10,1,59,888.0251708461253,988.3003823402884,100.27521149416305,100,0.27521149416304524
0_-10,1,60,888.064693748406,988.2123758340107,100.14768208560474,100,0.1476820856047425
0_-10,1,61,888.0719398514797,988.2123758340107,100.14043598253102,100,0.14043598253101663
0_-10,1,62,888.0719398514797,988.1487026928538,100.07676284137415,100,0.07676284137414768
0_-10,1,63,888.0392089867541,988.1487026928538,100.10949370609967,100,0.10949370609966991
0_-10,1,64,888.0392089867541,988.1742891301361,100.13508014338197,100,0.13508014338196972
0_-10,1,65,887.9951500853144,988.2549892279067,100.25983914259223,100,0.2598391425922273
0_-10,1,66,888.0775960187771,988.2243822177533,100.1467861989762,100,0.14678619897620138
0_-10,1,67,888.0801314926993,988.2849220458289,100.20479055312967,100,0.2047905531296692
0_-10,1,68,888.0716256212277,988.2849220458289,100.21329642460125,100,0.21329642460125342
0_-10,1,69,888.0408202770018,988.2167304182874,100.17591014128561,100,0.17591014128561255
0_-10,1,70,888.0408202770018,988.1361610014128,100.09534072441102,100,0.09534072441101671
0_-10,1,71,888.0859241044191,988.1361610014128,100.05023689699374,100,0.0502368969937379
0_-10,1,72,888.0862415831809,988.2047968101349,100.11855522695396,100,0.11855522695395848
0_-10,1,73,887.9607027223559,988.2047968101349,100.24409408777899,100,0.2440940877789899
0_-10,1,74,888.0126985923399,988.1379364317312,100.12523783939127,100,0.12523783939127497
0_-10,1,75,888.0126985923399,988.1379364317312,100.12523783939127,100,0.12523783939127497
0_-10,1,76,887.9907550486661,988.2070648597135,100.21630981104738,100,0.21630981104738112
0_-10,1,77,887.9907550486661,988.1499320722183,100.15917702355227,100,0.15917702355227448
0_-10,1,78,888.0758554845414,988.1288770190455,100.05302153450407,100,0.05302153450406877
0_-10,1,79,888.034795011575,988.1288770190455,100.09408200747043,100,0.09408200747043338
0_-10,1,80,888.0321261668408,988.2955725277736,100.26344636093279,100,0.2634463609327895
0_-10,1,81,887.9886151934663,988.1399430307683,100.151327837302,100,0.15132783730200572
