image_name,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163603290_0035.tiff,-1.53819e-15,-4.36087e-15,-1.21333e-14,1.29846e-14,-155.563,6.93077e-19,6.93077e-19,6.93077e-19,6.93077e-19,0.0702074
Basler_acA2040-35gm__23324651__20250529_163603290_0035.tiff,-1.53819e-15,-4.36087e-15,-1.21333e-14,1.29846e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0702074
Basler_acA2040-35gm__23324651__20250529_163603290_0036.tiff,-1.89903e-16,-1.78591e-14,-6.14999e-14,6.40408e-14,-155.563,1,1,1,1,0.0712462
Basler_acA2040-35gm__23324651__20250529_163603290_0036.tiff,-1.89903e-16,-1.78591e-14,-6.14999e-14,6.40408e-14,-155.563,6.68678e-18,6.68678e-18,6.68678e-18,6.68678e-18,0.0712462
Basler_acA2040-35gm__23324651__20250529_163603290_0036.tiff,-1.89903e-16,-1.78591e-14,-6.14999e-14,6.40408e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0712462
Basler_acA2040-35gm__23324651__20250529_163603290_0036.tiff,-1.89903e-16,-1.78591e-14,-6.14999e-14,6.40408e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0712462
Basler_acA2040-35gm__23324651__20250529_163603290_0037.tiff,-9.86471e-15,2.34741e-14,-6.25034e-14,6.74909e-14,-155.563,1,1,1,1,0.0795532
Basler_acA2040-35gm__23324651__20250529_163603290_0037.tiff,-9.86471e-15,2.34741e-14,-6.25034e-14,6.74909e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0795532
Basler_acA2040-35gm__23324651__20250529_163603290_0037.tiff,-9.86471e-15,2.34741e-14,-6.25034e-14,6.74909e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0795532
Basler_acA2040-35gm__23324651__20250529_163603290_0037.tiff,-9.86471e-15,2.34741e-14,-6.25034e-14,6.74909e-14,-155.563,1.13359e-17,1.13359e-17,1.13359e-17,1.13359e-17,0.0795532
Basler_acA2040-35gm__23324651__20250529_163603290_0038.tiff,-3.45938e-14,-6.47612e-15,1.37783e-14,3.77957e-14,-155.563,1,1,1,1,0.0698116
Basler_acA2040-35gm__23324651__20250529_163603290_0038.tiff,-3.45938e-14,-6.47612e-15,1.37783e-14,3.77957e-14,-155.563,7.40143e-20,7.40143e-20,7.40143e-20,7.40143e-20,0.0698116
Basler_acA2040-35gm__23324651__20250529_163603290_0038.tiff,-3.45938e-14,-6.47612e-15,1.37783e-14,3.77957e-14,-155.563,1.14912e-18,1.14912e-18,1.14912e-18,1.14912e-18,0.0698116
Basler_acA2040-35gm__23324651__20250529_163603290_0038.tiff,-3.45938e-14,-6.47612e-15,1.37783e-14,3.77957e-14,-155.563,1.96778e-17,1.96778e-17,1.96778e-17,1.96778e-17,0.0698116
